과목명,교수,전공,강의실,요일,강의시간
수의해부학1,김우석, 수의예과,동710-3,월,14-16
수의해부학1,김우석, 수의예과,수409,수,02-04
수의해부학1,김우석, 수의예과,동710-4,월,11-13
수의해부학1,김우석, 수의예과,수409,수,05-07
수의해부학1실습,"김우석, 강효민", 수의예과,수106,금,09-12
수의해부학1실습,"김우석, 강효민", 수의예과,수107,금,09-12
수의해부학1실습,"김우석, 강효민", 수의예과,수106,금,15-18
수의해부학1실습,"김우석, 강효민", 수의예과,수107,금,15-18
수의조직학1,"장병준, 김민우", 수의예과,수307,월,05-08
수의조직학1실습,장병준, 수의예과,수408,화,01-04
수의조직학1실습,장병준, 수의예과,수408,화,05-08
수의조직학1실습,장병준, 수의예과,수408,화,11-14
수의조직학1실습,장병준, 수의예과,수408,화,15-18
수의용어학,최양규, 수의예과,동710-4,화,05-07
수의용어학,최양규, 수의예과,동710-3,수,02-04
수의용어학,최양규, 수의예과,동710-3,화,02-04
수의용어학,최양규, 수의예과,동710-4,수,05-07
일반물리학및실험2,장성호, 물리,이124,월,04-06
일반물리학및실험2,장성호, 물리,이108,화,13-16
일반물리학및실험2,장성호, 물리,이124,수,04-06
일반물리학및실험2,이무희, 물리,창111,화,04-06
일반물리학및실험2,이무희, 물리,이108,수,05-08
일반물리학및실험2,이무희, 물리,창111,목,04-06
물리수학기초,여준현, 물리,창104,화,10-12
물리수학기초,여준현, 물리,창104,금,10-12
화학의원리및실험2,박용선, 화학과,창113,화,13-15
화학의원리및실험2,박용선, 화학과,창113,목,13-15
화학의원리및실험2,박용선, 화학과,이101,금,13-16
화학의원리및실험2,도정환, 화학과,창113-1,화,13-15
화학의원리및실험2,도정환, 화학과,창113-1,목,13-15
화학의원리및실험2,도정환, 화학과,이103,금,13-16
작물유전학,이주현," 응용생물과, 식량자원과학",동710-5,화,04-06
작물유전학,이주현," 응용생물과, 식량자원과학",동710-5,목,04-06
환경통계학,천세철," 환경과학, 환경보건과학",생451,월,01-03
환경통계학,천세철," 환경과학, 환경보건과학",생451,수,04-06
환경화학,윤영대," 환경과학, 환경보건과학",생454,화,04-06
환경화학,윤영대," 환경과학, 환경보건과학",생454,목,10-12
일반물리학,이훈경, 생명과학특성,산학102,월,13-15
일반물리학,이훈경, 생명과학특성,산학102,수,10-12
경관생태학,이상우," 환경과학, 산림조경",생351,화,10-12
경관생태학,이상우," 환경과학, 산림조경",생351,목,14-16
현장실습2,안병기, 동물자원과학,동304,월,04-06
현장실습2,안병기, 동물자원과학,동304,수,04-06
환경오염개론,안윤주," 환경과학, 환경보건과학",생351,수,01-03
환경오염개론,안윤주," 환경과학, 환경보건과학",생351,목,04-06
동물바이오비즈니스,연규영, 동물자원과학,동304,목,07-12
생물통계학및실습,"이준호, 김법균", 동물자원과학,생402,금,01-06
생물통계학및실습,"이준호, 김법균", 동물자원과학,생451,금,07-08
동물자원과학총론,박근규, 동물자원과학,동303,수,10-12
동물자원과학총론,박근규, 동물자원과학,동303,금,10-12
생태학개론,황순진," 환경과학, 환경보건과학",생351,월,01-03
생태학개론,황순진," 환경과학, 환경보건과학",생351,수,04-06
